vehicle_id,position_x,position_y,position_z,heading,speed,speed_command,mileage_distance,power_on_time,soc,fuel_level,chassis_mode,estop,task_state_running,task_state_estop,task_state_lock,task_stage,current_task,error_code,target_location,vesselVisitID,mission_type,container1_type,container2_type,vehicle_mode,missionID,port,hour,day_of_week,avg_speed_5min,needs_charging
A022,-130.838607788085,134.593887329101,0,3.13203287124633,5.39504861831665,5.39554166793823,11332,30914034,80,0,1,0,1,0,0,0.02444533014481201,0.0,0.0,7.953511038351424e-10,0.0,0.0,0.0,0.015729184475978798,0.0,4d15657e-9ea4-11ed-8856-0242ac110030,tianhaiheda,8,5,3.435906064510341,0
A022,-13.02059841156,80.6758956909179,0,1.53829300403594,0.0,0.0,11335,30923654,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,11,5,0.0,0
A022,154.223892211914,-218.72947692871,0,0.0005543339066207,0.0,0.0,11339,30937704,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,15,5,0.0,0
A022,-13.0202836990356,80.6762237548828,0,1.53871023654937,0.0,0.0,11335,30922310,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,11,5,0.0,0
A022,-13.0234518051147,80.686279296875,0,1.53829479217529,0.0,0.0,11335,30925914,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,12,5,0.0,0
A022,154.231140136718,-218.726013183593,0,0.0009313867776654,0.0,0.0,11339,30940960,71,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,16,5,0.0,0
A022,326.193054199218,47.6358032226562,0,1.56055867671966,5.60839176177978,5.73940086364746,11336,30929400,75,0,1,0,1,0,0,0.02444533014481201,0.0,0.0,2.8953009500139967e-06,0.38016528925619836,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,79caa436-9ecb-11ed-a9a8-0242ac110030,tianhaiheda,13,5,5.385796833038324,0
A022,-262.939025878906,2.05074405670166,0,-0.0038282312452793,0.0,0.0,11334,30915070,78,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,1.3079257745695414e-08,0.0,0.0,0.0,0.015729184475978798,0.0,af0ad1c2-9ea6-11ed-8e1d-0242ac110030,tianhaiheda,9,5,0.0,0
A022,-13.0223846435546,80.6835784912109,0,1.53844237327575,0.0,0.0,11335,30926302,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,12,5,0.0,0
A022,-13.0301103591918,80.6862030029296,0,1.53924596309661,0.0,0.0,11335,30921050,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,11,5,0.0,0
A022,-145.459915161132,208.086242675781,0,3.1404435634613,0.0,0.0,11333,30914688,78,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.0,0.0,0.015729184475978798,0.0,a3196636-9ea5-11ed-8022-0242ac110030,tianhaiheda,8,5,0.18620965618174495,0
A022,154.221771240234,-218.729537963867,0,0.0005323106306605,0.0,0.0,11339,30935504,72,0,1,0,0,0,0,0.02444533014481201,0.0,0.0,0.0,0.0,0.030908785486309424,0.018723923883178995,0.015729184475978798,0.0,365fbfb4-9ecc-11ed-ac70-0242ac110030,tianhaiheda,15,5,0.0,0
A022,-13.0197343826293,80.6727981567382,0,1.53820359706878,0.0,0.0,11335,30925264,77,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018723923883178995,0.015729184475978798,0.06015037593984962,-,tianhaiheda,12,5,0.0,0
A022,-333.971923828125,104.925979614257,0,-1.59339261054992,3.55329036712646,3.58797335624694,11333,30914950,78,0,1,0,1,0,0,0.02444533014481201,0.0,0.010852735897373969,1.3079257745695414e-08,0.0,0.0,0.0,0.015729184475978798,0.0,af0ad1c2-9ea6-11ed-8e1d-0242ac110030,tianhaiheda,8,5,3.5035771846771184,0
